,Origin,Lat,Long,Max Temp (F),Humidity %,Cloudiness %,Wind Speed (mph),Date
58,hasaki,35.73,140.83,52.0,76,75,5.82,1587233726
59,nanortalik,60.14,-45.24,30.18,88,27,3.69,1587233726
60,ngong,-1.36,36.66,66.2,93,75,2.35,1587233726
61,jamestown,42.1,-79.24,43.0,55,75,12.75,1587233726
62,kualakapuas,-3.01,114.39,76.69,96,100,1.52,1587233727
63,bat khela,34.62,71.97,60.49,52,67,5.01,1587233727
64,butaritari,3.07,172.79,82.04,78,98,14.43,1587233727
65,hobyo,5.35,48.53,85.35,69,41,11.54,1587233727
66,tabou,4.42,-7.35,81.72,83,88,9.1,1587233727
67,port alfred,-33.59,26.89,66.99,94,0,3.0,1587233727
68,imeni poliny osipenko,52.42,136.49,26.26,88,76,8.5,1587233728
69,dalhousie,32.53,75.98,51.64,44,56,5.55,1587233728
70,nikolskoye,59.7,30.79,36.0,94,90,17.9,1587233728
71,georgetown,5.41,100.34,82.4,88,40,2.24,1587233711
72,cherskiy,68.75,161.3,-4.95,87,39,6.04,1587233729
73,ixtapa,20.7,-105.2,80.6,61,90,6.93,1587233729
74,severo-kurilsk,50.68,156.12,32.68,88,0,9.04,1587233729
75,eureka,40.8,-124.16,55.0,78,99,4.0,1587233687
76,innisfail,-17.53,146.03,72.95,90,39,3.49,1587233729
77,anda,46.4,125.32,57.78,31,73,17.65,1587233730
78,homer,59.64,-151.55,48.2,81,90,5.82,1587233730
79,sistranda,63.73,8.83,44.6,87,75,9.17,1587233730
80,rikitea,-23.12,-134.97,76.78,70,1,4.68,1587233730
81,lebu,-37.62,-73.65,64.29,68,91,6.55,1587233731
82,bata,1.86,9.77,87.8,74,40,5.82,1587233731
83,katsuura,35.13,140.3,57.99,70,4,5.99,1587233731
84,kruisfontein,-34.0,24.73,66.58,52,0,8.77,1587233731
85,tiksi,71.69,128.87,5.04,87,92,4.7,1587233732
86,bonfim,3.08,-59.95,93.45,39,63,6.42,1587233732
87,ponta do sol,32.67,-17.1,64.99,51,6,8.01,1587233732
88,mezen,65.85,44.24,31.35,98,74,5.84,1587233732
89,hithadhoo,-0.6,73.08,84.16,74,99,12.82,1587233732
90,kidal,18.44,1.41,97.0,8,29,7.47,1587233732
91,omsukchan,62.53,155.8,-0.09,84,100,6.29,1587233732
92,alofi,-19.06,-169.92,75.2,94,37,5.82,1587233733
93,nizhniy kuranakh,58.84,125.49,6.57,88,88,2.75,1587233527
94,kaitangata,-46.28,169.85,48.99,88,100,7.87,1587233733
95,sahuaripa,29.05,-109.23,83.39,12,0,12.28,1587233733
96,fernley,39.61,-119.25,57.99,40,40,7.0,1587233733
97,inhambane,-23.86,35.38,78.8,69,20,14.5,1587233734
98,grindavik,63.84,-22.43,37.4,100,90,11.41,1587233699
99,new norfolk,-42.78,147.06,43.0,86,70,3.62,1587233734
100,boden,65.83,21.69,42.8,48,1,5.82,1587233734
101,saint anthony,45.02,-93.22,61.0,36,75,16.11,1587233734
102,samarai,-10.62,150.67,79.48,81,47,1.14,1587233734
103,souillac,-20.52,57.52,79.0,74,40,16.11,1587233705
104,atasu,48.68,71.64,53.26,35,14,5.39,1587233735
105,charlestown,-32.95,151.67,55.0,86,31,4.14,1587233735
106,port hardy,50.7,-127.42,48.2,87,90,8.05,1587233735
107,villa carlos paz,-31.42,-64.5,84.0,32,0,16.11,1587233441
108,arraial do cabo,-22.97,-42.03,78.8,69,40,10.29,1587233735
109,thompson,55.74,-97.86,12.2,56,75,13.87,1587233736
110,mount isa,-20.73,139.5,75.2,29,11,13.87,1587233736
111,isangel,-19.55,169.27,78.85,82,79,10.58,1587233736
112,kodiak,57.79,-152.41,44.6,87,40,3.36,1587233736
113,mount gambier,-37.83,140.77,44.6,100,40,2.24,1587233736
114,lata,40.16,-8.33,66.0,80,68,5.01,1587233736
115,kamina,-8.74,24.99,67.64,66,93,2.66,1587233737
116,verkhnyaya inta,65.98,60.31,32.27,91,100,5.55,1587233737
117,nhulunbuy,-12.23,136.77,77.0,88,72,9.08,1587233737
118,botwood,49.15,-55.35,37.99,41,67,1.99,1587233737
119,yulara,-25.24,130.99,69.8,37,0,5.82,1587233737
120,praxedis guerrero,31.37,-106.02,75.0,12,5,11.41,1587233737
121,dingle,11.0,122.67,80.22,79,0,8.52,1587233738
122,bethel,41.37,-73.41,39.99,87,100,1.01,1587233738
123,chongwe,-15.33,28.68,68.0,72,0,4.7,1587233738
124,upernavik,72.79,-56.15,25.68,89,100,29.04,1587233738
125,burns lake,54.23,-125.75,50.32,45,28,1.34,1587233738
126,mumford,5.26,-0.76,83.77,78,57,12.17,1587233738
127,takoradi,4.88,-1.76,83.68,78,46,10.74,1587233739
128,auki,-8.77,160.7,80.22,80,100,9.08,1587233739
129,sobolevo,54.43,31.9,37.35,75,99,6.29,1587233739
130,kopervik,59.28,5.31,46.99,75,0,5.82,1587233740
131,sisimiut,66.94,-53.67,25.56,91,100,22.46,1587233740
132,rabo de peixe,37.8,-25.58,62.6,82,75,10.29,1587233740
133,smithers,54.78,-127.17,51.8,53,20,6.93,1587233740
134,sept-iles,50.2,-66.38,33.8,64,20,10.29,1587233740
135,bambous virieux,-20.34,57.76,79.0,74,40,16.11,1587233629
136,bokhan,53.15,103.77,32.05,73,92,12.77,1587233741
137,svencionys,55.15,26.17,36.77,73,78,5.7,1587233741
138,bengkulu,-3.8,102.27,77.99,83,100,3.4,1587233486
139,amapa,1.0,-52.0,77.63,83,100,1.39,1587233741
140,ambovombe,-25.17,46.08,72.14,81,7,12.75,1587233741
141,gryazovets,58.88,40.25,31.89,90,63,4.97,1587233741
142,bonavista,48.65,-53.11,37.0,51,69,11.99,1587233742
143,dukat,62.55,155.55,-3.39,83,100,5.66,1587233742
144,araxa,-19.59,-46.94,77.0,65,88,5.82,1587233743
145,cabo san lucas,22.89,-109.91,79.0,64,5,21.92,1587233716
146,torbay,47.67,-52.73,39.99,59,90,14.99,1587233632
147,constitucion,-35.33,-72.42,68.79,74,93,9.37,1587233743
148,xuddur,4.12,43.89,83.53,52,99,13.13,1587233743
149,beinamar,8.67,15.38,92.21,11,45,1.05,1587233744
150,kavaratti,10.57,72.64,84.74,70,1,6.35,1587233744
151,snihurivka,47.08,32.81,49.69,46,7,6.33,1587233744
152,sinnamary,5.38,-52.95,82.44,78,93,10.33,1587233664
153,ayutla,20.12,-104.33,88.57,18,39,6.62,1587233744
154,kitimat,54.05,-128.65,55.99,54,5,9.17,1587233717
155,dunedin,-45.87,170.5,48.99,67,95,6.11,1587233745
156,qaanaaq,77.48,-69.36,19.42,82,26,11.03,1587233745
157,mattru,7.62,-11.83,84.51,68,94,7.54,1587233745
158,itacarambi,-15.1,-44.09,79.97,68,89,5.28,1587233745
159,avarua,-21.21,-159.78,77.0,83,13,4.7,1587233666
160,marathon,44.9,-89.77,55.4,32,1,17.22,1587233745
161,taoudenni,22.68,-3.98,92.43,27,53,29.01,1587233745
162,nelson bay,-32.72,152.15,55.0,93,20,2.66,1587233746
163,dharchula,29.85,80.53,57.06,28,13,7.85,1587233746
164,hilo,19.73,-155.09,73.99,73,1,5.82,1587233746
165,yellowknife,62.46,-114.35,24.01,79,75,9.17,1587233746
166,mao,39.89,4.27,64.4,88,75,10.29,1587233747
167,tomatlan,19.93,-105.25,90.52,35,51,10.4,1587233747
168,morgan city,29.7,-91.21,75.2,83,90,8.05,1587233648
169,iqaluit,63.75,-68.51,6.8,65,20,3.36,1587233597
170,teguise,29.06,-13.56,69.8,64,20,13.87,1587233747
171,hermanus,-34.42,19.23,72.0,75,6,2.06,1587233630
172,sola,-13.88,167.55,82.44,76,73,10.36,1587233667
173,kieta,-6.22,155.63,79.47,78,100,2.48,1587233748
174,qasigiannguit,68.82,-51.19,24.8,79,75,3.36,1587233748
175,ribeira grande,38.52,-28.7,64.4,88,75,11.41,1587233748
176,longyearbyen,78.22,15.64,33.8,69,40,5.82,1587233749
177,pa sang,18.53,98.94,84.2,48,20,1.59,1587233749
178,angoram,-4.06,144.07,75.11,96,96,0.98,1587233675
179,zhezkazgan,47.8,67.71,57.69,40,87,7.43,1587233749
180,tasiilaq,65.61,-37.64,32.0,91,90,17.22,1587233645
181,san carlos de bariloche,-41.15,-71.31,60.8,51,40,24.16,1587233470
182,shubarshi,48.59,57.19,52.86,49,63,7.72,1587233750
183,ahuimanu,21.44,-157.84,78.8,57,20,9.17,1587233750
184,korla,41.76,86.15,61.47,34,99,4.54,1587233751
185,vanimo,-2.67,141.3,81.12,76,88,2.77,1587233751
186,tubmanburg,6.87,-10.82,83.14,72,100,6.93,1587233751
187,lakselv,70.05,24.97,39.2,74,75,14.99,1587233752
188,liverpool,53.41,-2.98,51.01,76,40,6.93,1587233640
189,lufilufi,-13.87,-171.6,77.0,88,75,8.05,1587233752
190,nortelandia,-14.45,-56.8,79.41,71,99,3.11,1587233752
191,muzhi,65.37,64.67,33.22,97,100,5.57,1587233752
192,padang,-0.95,100.35,78.89,77,100,0.98,1587233595
193,solnechnyy,50.72,136.63,29.23,90,45,4.7,1587233753
194,glendive,47.11,-104.71,50.0,43,90,11.41,1587233753
195,kailua,21.4,-157.74,78.8,57,20,9.17,1587233753
196,dicabisagan,17.08,122.42,78.28,84,75,5.1,1587233754
197,ormara,25.21,64.64,78.73,77,60,11.05,1587233754
198,tabuk,17.42,121.44,74.82,82,90,3.74,1587233754
199,rumoi,43.93,141.64,43.66,81,100,4.9,1587233754
200,saint-philippe,-21.36,55.77,77.0,78,20,17.22,1587233754
201,klyuchi,52.27,79.17,51.39,52,0,6.98,1587233755
202,brokopondo,4.75,-55.17,90.34,53,69,2.86,1587233755
203,muri,23.37,85.87,75.2,69,20,3.94,1587233755
204,sao joao da barra,-21.64,-41.05,78.8,61,75,9.17,1587233755
205,lima,-12.04,-77.03,73.4,73,25,8.05,1587233636
206,santa rosa,14.31,121.11,84.2,74,75,5.82,1587233756
207,cape town,-33.93,18.42,69.01,52,5,3.36,1587233567
208,san patricio,19.22,-104.7,82.4,78,20,8.05,1587233756
209,meulaboh,4.14,96.13,79.48,82,89,3.87,1587233756
210,pringsewu,-5.36,104.97,74.59,88,89,1.52,1587233756
211,stokmarknes,68.56,14.91,41.0,89,82,4.0,1587233757
212,chitrakonda,18.12,82.08,79.88,41,23,1.79,1587233757
213,kalaleh,37.38,55.49,59.0,93,20,2.37,1587233757
214,lompoc,34.64,-120.46,59.0,67,90,8.05,1587233757
215,naujamiestis,55.69,24.15,41.0,48,73,11.41,1587233757
216,zhigansk,66.77,123.37,2.62,93,30,12.91,1587233525
217,port-gentil,-0.72,8.78,86.0,79,40,10.29,1587233758
218,aksarka,66.56,67.8,31.75,98,100,2.08,1587233758
219,stabat,3.76,98.45,80.6,88,40,2.24,1587233758
220,el alto,-4.27,-81.21,89.6,49,37,6.93,1587233758
221,punta de bombon,-17.17,-71.79,76.01,58,15,7.43,1587233759
222,ugoofaaru,5.67,73.0,85.95,73,7,8.95,1587233759
223,dalbandin,28.89,64.41,76.24,22,100,8.86,1587233759
224,khingansk,49.12,131.18,40.77,52,42,4.68,1587233759
225,mugur-aksy,50.35,90.5,28.69,44,59,3.18,1587233759
226,cayenne,4.93,-52.33,84.2,79,75,9.17,1587233664
227,koutiala,12.39,-5.46,103.89,13,54,6.78,1587233760
228,salalah,17.02,54.09,82.4,74,40,6.93,1587233760
229,kavieng,-2.57,150.8,82.17,76,99,0.6,1587233760
230,luderitz,-26.65,15.16,62.6,82,11,8.05,1587233761
231,mandalgovi,45.76,106.27,34.7,45,84,27.51,1587233761
232,wardha,20.75,78.62,89.6,27,40,3.36,1587233761
233,abashiri,44.02,144.27,39.18,82,100,8.66,1587233761
234,bambanglipuro,-7.95,110.28,78.64,81,98,5.41,1587233761
235,alakurtti,66.97,30.35,34.0,79,31,4.0,1587233761
236,mongo,12.18,18.69,89.01,9,65,6.2,1587233762
237,malinovskiy,61.2,62.84,38.86,89,100,8.1,1587233762
238,ukiah,39.15,-123.21,55.0,71,90,8.05,1587233762
239,lavrentiya,65.58,-171.0,17.69,96,100,13.2,1587233530
240,gizo,-8.1,156.84,81.28,74,68,3.11,1587233762
241,togur,58.36,82.83,40.55,76,89,8.1,1587233763
242,oparino,59.85,48.28,33.35,86,97,4.32,1587233763
243,banda aceh,5.56,95.32,80.04,81,27,4.54,1587233763
244,carutapera,-1.2,-46.02,82.47,75,60,4.7,1587233763
245,pisco,-13.7,-76.22,75.99,64,3,8.05,1587233764
246,papara,-3.98,-38.73,86.0,66,75,5.82,1587233764
247,astana,51.18,71.45,48.2,66,100,6.71,1587233534
248,beloha,-25.17,45.05,73.42,75,39,12.17,1587233763
249,tuatapere,-46.13,167.68,43.0,93,94,3.0,1587233679
250,broome,42.25,-75.83,41.0,69,90,12.75,1587233764
251,tura,25.52,90.22,68.4,74,89,9.28,1587233765
252,tual,-5.67,132.75,83.93,76,100,7.76,1587233765
253,east london,-33.02,27.91,71.94,64,0,17.94,1587233610
254,vostok,46.49,135.88,34.97,75,27,3.09,1587233765
255,airai,-8.93,125.41,60.13,56,63,2.48,1587233765
256,port blair,11.67,92.75,83.97,74,8,6.67,1587233766
257,gat,31.61,34.76,69.01,14,2,9.62,1587233503
258,srednekolymsk,67.45,153.68,-12.33,89,47,7.87,1587233529
259,gushikawa,26.35,127.87,71.6,88,1,3.36,1587233766
260,noyabrsk,63.2,75.45,39.92,85,98,15.37,1587233766
261,zhangjiakou,40.81,114.88,51.19,35,100,4.76,1587233766
262,jamame,0.07,42.75,83.86,77,100,9.82,1587233766
263,mahebourg,-20.41,57.7,79.0,74,40,16.11,1587233767
264,saldanha,-33.01,17.94,73.4,33,21,8.05,1587233767
265,boende,-0.22,20.87,72.57,86,94,2.26,1587233659
266,rosetta,31.4,30.42,64.4,77,2,11.41,1587233767
267,fortuna,40.6,-124.16,55.99,93,90,3.36,1587233767
268,bembereke,10.23,2.66,92.95,27,79,6.02,1587233768
269,namibe,-15.2,12.15,74.34,70,69,5.64,1587233768
270,lagoa,39.05,-27.98,63.09,85,93,25.57,1587233768
271,yumen,40.28,97.2,55.0,22,66,8.34,1587233768
272,canakkale,40.08,26.83,53.55,70,0,0.13,1587233768
273,aguazul,5.17,-72.55,84.88,57,43,6.53,1587233769
274,brae,60.4,-1.35,46.4,70,0,12.75,1587233769
275,port pirie,-33.18,138.02,51.8,93,61,5.82,1587233769
276,kamenskiy,50.89,45.49,40.55,64,39,8.14,1587233769
277,inirida,3.87,-67.92,82.71,83,87,3.71,1587233552
278,palora,-1.7,-77.93,66.2,93,90,1.1,1587233769
279,puerto escondido,15.85,-97.07,86.0,84,5,11.41,1587233770
280,kuntaur,13.67,-14.88,95.74,16,85,14.74,1587233770
281,kulhudhuffushi,6.62,73.07,85.96,74,21,10.16,1587233770
282,nara,34.69,135.8,55.99,61,99,1.99,1587233770
283,coos bay,43.37,-124.22,57.99,76,75,5.82,1587233771
284,deputatskiy,69.3,139.9,-15.95,73,0,1.83,1587233529
285,yatou,37.15,122.38,49.35,78,100,3.65,1587233771
286,zhuanghe,39.7,122.99,54.0,84,100,6.31,1587233771
287,benjamin hill,30.17,-111.1,77.0,24,0,11.99,1587233771
288,coracora,-15.03,-73.78,59.45,19,29,8.7,1587233771
289,lorengau,-2.02,147.27,82.51,72,64,1.45,1587233771
290,sao filipe,14.9,-24.5,71.49,73,14,23.38,1587233772
291,outlook,51.5,-107.05,34.7,61,71,15.32,1587233772
292,taltal,-25.4,-70.48,70.63,57,19,5.88,1587233772
293,port moresby,-9.44,147.18,75.2,100,20,3.36,1587233772
294,gazimurskiy zavod,51.55,118.33,24.22,86,99,10.56,1587233772
295,minot,48.23,-101.3,50.0,43,1,21.92,1587233710
296,obuasi,6.21,-1.66,78.22,86,85,3.89,1587233510
297,abaza,52.66,90.09,37.18,62,0,2.93,1587233773
298,crailsheim,49.13,10.07,68.0,45,77,11.41,1587233773
299,thung song,8.16,99.68,77.4,88,97,2.64,1587233773
300,fare,-16.7,-151.02,83.53,70,86,6.04,1587233773
301,khandyga,62.67,135.6,-4.92,87,15,2.55,1587233773
302,kattivakkam,13.22,80.32,86.0,79,20,9.17,1587233774
303,carnarvon,-24.87,113.63,75.2,88,75,14.99,1587233606
304,hamilton,39.18,-84.53,53.01,53,40,9.17,1587233545
305,ketchikan,55.34,-131.65,48.2,81,1,6.93,1587233774
306,salinas,36.68,-121.66,59.0,62,90,5.82,1587233562
307,mapastepec,15.43,-92.9,96.19,39,2,9.33,1587233774
308,huainan,32.63,117.0,52.2,91,100,9.44,1587233774
309,tucupita,9.06,-62.05,97.47,30,25,6.71,1587233775
310,saint-georges,12.06,-61.75,84.2,70,20,227.94,1587233775
311,tazovskiy,67.47,78.7,36.77,98,100,22.64,1587233775
312,oldenburg,53.17,8.2,61.0,44,28,7.0,1587233668
313,garowe,8.41,48.48,81.55,56,49,16.53,1587233775
314,pevek,69.7,170.31,-4.92,89,0,7.09,1587233529
315,rialma,-15.31,-49.58,75.58,72,100,1.14,1587233776
316,sirnak,37.52,42.46,50.83,45,2,2.53,1587233776
317,tessaoua,13.76,7.99,90.57,9,41,7.85,1587233776
318,klaksvik,62.23,-6.59,44.6,81,0,14.99,1587233776
319,madinat sittah uktubar,29.82,31.05,71.6,40,13,16.11,1587233776
320,touros,-5.2,-35.46,87.8,62,40,4.7,1587233777
321,goranboy,40.61,46.79,62.6,67,40,6.93,1587233777
322,grand-lahou,5.14,-5.02,82.74,85,79,12.84,1587233777
323,havoysund,71.0,24.66,35.6,93,95,13.87,1587233777
324,french harbor,16.35,-86.43,81.32,77,1,17.07,1587233777
325,nata,8.33,-80.52,89.01,30,30,5.99,1587233777
326,rawson,-43.3,-65.1,67.28,63,100,14.81,1587233777
327,xining,36.62,101.77,44.64,27,37,0.67,1587233778
328,roald,62.58,6.13,46.99,75,0,10.29,1587233778
329,port hawkesbury,45.62,-61.35,45.0,45,1,13.87,1587233712
330,texarkana,33.43,-94.05,61.0,58,1,3.36,1587233520
331,nemuro,43.32,145.57,40.48,83,97,9.6,1587233778
332,gazanjyk,39.24,55.52,73.85,33,0,10.63,1587233778
333,witu,-2.39,40.44,80.31,83,100,10.16,1587233778
334,coquimbo,-29.95,-71.34,59.0,87,90,8.05,1587233779
335,te anau,-45.42,167.72,44.96,72,80,5.73,1587233665
336,akyab,20.15,92.9,77.79,85,1,6.02,1587233779
337,maceio,-9.67,-35.74,87.8,70,75,9.17,1587233641
338,gamba,-2.65,10.0,80.06,81,76,8.05,1587233779
339,arifwala,30.29,73.07,77.43,42,0,7.72,1587233779
340,flinders,-34.58,150.86,54.0,82,92,6.49,1587233780
341,quelimane,-17.88,36.89,82.4,78,75,10.29,1587233780
342,san rafael,-34.62,-68.33,83.86,22,52,16.55,1587233780
343,matara,5.95,80.54,80.37,83,54,4.43,1587233780
344,guerrero negro,27.98,-114.06,65.25,56,2,16.64,1587233780
345,hay river,60.82,-115.8,33.8,64,75,2.24,1587233722
346,potsdam,52.4,13.07,60.01,23,3,8.84,1587233505
347,labuhan,-6.88,112.21,79.86,82,70,1.1,1587233781
348,mantua,45.17,10.78,69.01,52,89,1.99,1587233781
349,champerico,14.3,-91.92,91.4,49,20,4.7,1587233781
350,saint-francois,46.42,3.91,68.0,52,98,2.08,1587233781
351,trinidad,-14.83,-64.9,82.4,42,47,13.87,1587233781
352,acapulco,16.86,-99.89,86.0,48,5,5.82,1587233781
353,dudinka,69.41,86.18,37.4,74,100,35.79,1587233782
354,petropavlovsk-kamchatskiy,53.05,158.65,30.2,74,0,6.71,1587233633
355,ndele,8.41,20.65,85.66,26,81,2.44,1587233782
356,pandan niog,6.23,120.56,83.64,78,16,9.51,1587233782
357,laguna,38.42,-121.42,62.01,59,90,9.17,1587233782
358,visnes,59.36,5.22,50.0,75,0,5.82,1587233782
359,umm kaddadah,13.6,26.69,84.58,11,18,11.01,1587233783
360,shelburne,44.08,-80.2,46.99,42,49,15.88,1587233783
361,desaguadero,-16.57,-69.04,48.31,19,79,7.07,1587233783
362,nishihara,26.18,127.76,71.6,88,1,6.93,1587233783
363,saa,4.37,11.45,74.46,80,77,2.48,1587233784
364,ca mau,9.18,105.15,80.15,86,100,5.17,1587233784
365,portland,45.52,-122.68,51.01,81,90,6.93,1587233261
366,matagami,49.75,-77.63,41.0,38,40,21.92,1587233784
367,subkhankulovo,54.56,53.81,39.45,71,100,7.27,1587233784
368,lamu,-2.27,40.9,82.24,80,100,10.42,1587233784
369,bartica,6.4,-58.62,89.6,59,75,11.41,1587233785
370,riyadh,24.69,46.72,84.2,28,40,2.24,1587233500
371,gohpur,26.88,93.63,71.06,77,57,2.59,1587233785
372,nome,64.5,-165.41,33.8,100,90,8.05,1587233785
373,san carlos,9.66,-68.58,96.12,32,91,1.59,1587233785
374,kutum,14.2,24.67,77.4,11,62,9.66,1587233785
375,belaya gora,68.53,146.42,-13.02,87,64,3.13,1587233786
376,dourbali,11.81,15.86,90.64,9,66,6.82,1587233786
377,miles city,46.41,-105.84,48.99,70,90,5.82,1587233786
378,manta,-0.95,-80.73,82.4,83,75,9.17,1587233786
379,beysehir,37.68,31.72,54.66,37,28,2.86,1587233786
380,zhanaozen,43.3,52.8,62.08,38,59,5.53,1587233787
381,sakakah,29.97,40.21,75.2,27,20,5.82,1587233787
382,barra patuca,15.8,-84.28,84.45,66,21,11.79,1587233691
383,bulgan,48.81,103.53,30.9,54,33,7.11,1587233787
384,kichera,55.94,110.1,17.64,80,61,10.31,1587233787
385,arman,59.7,150.17,8.35,89,100,16.11,1587233762
386,sudbury,46.49,-80.99,46.99,42,19,18.99,1587233788
387,russell,32.35,-85.2,78.8,54,40,11.41,1587233788
388,kapit,2.02,112.93,74.68,95,85,1.45,1587233788
389,kampot,10.62,104.18,81.59,77,84,3.71,1587233788
390,hami,42.8,93.45,65.14,20,95,17.05,1587233606
391,masuda,34.67,131.85,55.4,71,75,6.93,1587233789
392,goderich,43.75,-81.72,48.0,51,43,5.01,1587233789
393,macherla,16.48,79.43,82.2,60,10,11.5,1587233789
394,mananara,-16.17,49.77,76.66,82,91,10.04,1587233790
395,estacion coahuila,32.19,-115.0,71.6,32,5,17.22,1587233790
396,urumqi,43.8,87.6,59.0,51,99,1.88,1587233790
397,san felipe,10.34,-68.74,87.46,46,87,6.8,1587233790
398,caraquet,47.79,-64.94,41.0,23,1,6.93,1587233790
399,cruz alta,-28.64,-53.61,80.6,34,0,6.93,1587233791
400,zwedru,6.07,-8.13,78.37,85,90,5.37,1587233791
401,aquiraz,-3.9,-38.39,86.0,66,75,5.82,1587233791
402,paka,4.64,103.44,78.8,94,99,1.12,1587233791
403,kaeo,-35.1,173.78,60.01,95,61,1.99,1587233791
404,pierre,44.37,-100.35,62.01,36,1,13.87,1587233702
405,kuznechikha,57.22,42.33,34.0,84,71,5.41,1587233792
406,kharp,66.8,65.81,32.29,94,100,4.81,1587233792
407,porto nacional,-10.71,-48.42,78.8,88,75,6.93,1587233792
408,pindwara,24.8,73.07,82.11,22,70,8.25,1587233792
409,eqbaliyeh,35.3,51.54,62.6,63,20,4.7,1587233792
410,valparaiso,-33.04,-71.63,78.8,44,28,6.93,1587233792
411,masty,53.41,24.54,41.02,66,100,6.98,1587233793
412,savyntsi,49.4,37.06,43.36,57,0,5.57,1587233793
413,severo-yeniseyskiy,60.37,93.04,24.76,94,57,4.07,1587233694
414,nizhniy baskunchak,48.22,46.83,52.11,45,65,6.31,1587233793
415,richards bay,-28.78,32.04,72.5,79,34,12.01,1587233793
416,sardinia,38.88,21.2,57.2,87,20,4.7,1587233669
417,morros,-9.45,-46.3,82.08,63,95,2.48,1587233793
418,bitkine,11.98,18.21,88.21,9,70,5.99,1587233794
419,porto empedocle,37.29,13.53,64.99,80,87,3.0,1587233794
420,buala,-8.14,159.59,80.28,80,97,4.65,1587233723
